sample_id,drug_id,drug_name,ic50_um,auc,response_label
S001,DRUG001,Erlotinib,4.0,0.55,Intermediate
S001,DRUG002,Doxorubicin,0.5,0.28,Sensitive
S001,DRUG003,Gefitinib,4.5,0.58,Intermediate
S001,DRUG004,Lapatinib,4.0,0.55,Intermediate
S002,DRUG001,Erlotinib,9.5,0.78,Resistant
S002,DRUG002,Doxorubicin,15.0,0.88,Resistant
S002,DRUG003,Gefitinib,10.0,0.80,Resistant
S002,DRUG004,Lapatinib,9.0,0.76,Resistant
S003,DRUG001,Erlotinib,0.8,0.18,Sensitive
S003,DRUG002,Doxorubicin,1.0,0.30,Sensitive
S003,DRUG003,Gefitinib,0.9,0.20,Sensitive
S003,DRUG004,Lapatinib,2.5,0.42,Intermediate
S004,DRUG001,Erlotinib,5.5,0.62,Intermediate
S004,DRUG002,Doxorubicin,0.4,0.25,Sensitive
S004,DRUG003,Gefitinib,6.0,0.65,Intermediate
S004,DRUG004,Lapatinib,0.6,0.18,Sensitive
S005,DRUG001,Erlotinib,2.0,0.38,Sensitive
S005,DRUG002,Doxorubicin,0.8,0.30,Sensitive
S005,DRUG003,Gefitinib,2.5,0.42,Sensitive
S005,DRUG004,Lapatinib,3.5,0.50,Intermediate
