sample_id,protein_symbol,protein_abundance
S001,EGFR,8.0
S001,ERBB2,14.0
S001,ABCB1,4.0
S001,MGAT5,6.5
S001,FUT8,13.0
S001,TP53,22.0
S001,KRAS,20.0
S002,EGFR,12.0
S002,ERBB2,10.0
S002,ABCB1,35.0
S002,MGAT5,7.5
S002,FUT8,12.5
S002,TP53,24.0
S002,KRAS,17.5
S003,EGFR,52.0
S003,ERBB2,9.0
S003,ABCB1,6.0
S003,MGAT5,16.0
S003,FUT8,22.0
S003,TP53,11.0
S003,KRAS,50.0
S004,EGFR,6.0
S004,ERBB2,42.0
S004,ABCB1,3.0
S004,MGAT5,9.0
S004,FUT8,10.0
S004,TP53,26.0
S004,KRAS,18.5
S005,EGFR,18.0
S005,ERBB2,16.0
S005,ABCB1,7.5
S005,MGAT5,12.0
S005,FUT8,15.0
S005,TP53,18.0
S005,KRAS,26.0
